Membership No  Date Joined  Active  
    18332      2020-12-1    yes   
    33440      2019-2-20    yes   
    50247      2020-10-19   yes   
    71416      2015-7-15    yes   
    97570      2018-5-17    yes   
    45338      2020-1-25    yes   
    19007      2018-3-11    yes   
    98243      2017-7-14    yes   
    54436      2020-2-7     yes   
    52123      2017-12-13   yes   
    59085      2017-12-12   yes   
    93514      2019-7-8     yes   
    89138      2015-3-16    yes   
